course_name,pagerank_score,rank
CS50: Introduction to Computer Science,0.170559821,1
Introduction to Computer Science and Programming,0.156499354,2
Circuits and Electronics,0.098792865,3
Health in Numbers: Quantitative Methods,0.091002889,4
Electricity and Magnetism,0.080722289,5
Human Health and Global Environmental Change,0.074325951,6
Justice,0.062903612,7
The Challenges of Global Poverty,0.056343478,8
Introduction to Biology: The Secret of Life,0.055123624,9
Introduction to Solid State Chemistry,0.052664284,10
Health in Numbers: Epidemiology and Statistics,0.046798071,11
Mechanics ReView,0.031563207,12
Elements of Structures,0.022700557,13
